TRIAL NO	Start Object Size	Target Object Size	Distance	Index of Difficulty	Task Completion Time	Total Misses	First Touch Distance	Start Object Selection Time	Start Object Misses	Target Object Misses
1	(0.25, 2, 0)	(0.25, 2, 0)	32	7.01123	4.315	2	0.842916	56.119	2	0
2	(0.25, 2, 0)	(0.25, 2, 0)	16	6.02237	4.144	1	3.06327	3.155	1	0
3	(0.25, 2, 0)	(0.25, 2, 0)	4	4.08746	2.276	0	4.64849	1.683	0	0
4	(0.25, 2, 0)	(0.25, 2, 0)	8	5.04439	2.761	0	5.49321	2.972	0	0
1	(0.25, 2, 0)	(0.25, 2, 0)	1	2.32193	1.961	0	2.91163	1.255	0	0
1	(0.25, 2, 0)	(0.25, 2, 0)	8	5.04439	3.36	2	3.65636	2.566	0	2
2	(0.25, 2, 0)	(0.25, 2, 0)	16	6.02237	3.009	0	2.39232	1.887	0	0
3	(0.25, 2, 0)	(0.25, 2, 0)	4	4.08746	2.997	0	1.47035	1.784	0	0
4	(0.25, 2, 0)	(0.25, 2, 0)	8	5.04439	2.778	0	4.12365	1.95	0	0
5	(0.25, 2, 0)	(0.25, 2, 0)	1	2.32193	1.764	1	3.7446	1.882	1	0
6	(0.25, 2, 0)	(0.25, 2, 0)	16	6.02237	2.229	0	3.19417	2.297	0	0
7	(0.25, 2, 0)	(0.25, 2, 0)	4	4.08746	1.547	0	6.12044	1.814	0	0
8	(0.25, 2, 0)	(0.25, 2, 0)	2	3.16992	1.727	1	3.49201	2.805	1	0
9	(0.25, 2, 0)	(0.25, 2, 0)	32	7.01123	3.49	1	5.4112	3.424	0	1
